Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,POST
Token,Authenticate,POST,/v3/auth/tokens,"user_id
password",X-Auth-Token,201,400/401/403/405/413/503/404,Authenticates and generates a token.,,,Add user
,Validate token,GET,/v3/auth/tokens,X-Subject-Token,user_id,200,400/401/403/405/413/503/404,Validates a specified token.,,,
,Check token,HEAD,/v3/auth/tokens,X-Subject-Token,user_id,204,400/401/403/405/413/503/404,Validates a specified token.,,,Adds a user.
,Revoke token,DELETE,/v3/auth/tokens,X-Subject-Token,,204,400/401/403/405/413/503/404,Revokes a specified token.,API document has no Normal Response Code. 204 is the actual result.,"INDEX(L:L, ROW(L1)*7-4,1)",
Service catalog,Add service,POST,/v3/services,service_type,"service_id
service_type",201,400/401/403/405/413/503/404,Adds a service.,,,
,List services,GET,"/v3/services{?type,page,per_page}",,"service_description
service_id
service_type
service_name
service_link",200,400/401/403/405/413/503/404,Lists services.,,,GET
,Show service details,GET,/v3/services/{service_id},service_id,"service_description
service_id
service_type
service_name
service_link",200,400/401/403/405/413/503/404,Shows details for a specified service.,,,/v3/users
,Update service,PATCH,/v3/services/{service_id},"service_id
service_type","service_id
service_type",200,400/401/403/405/413/503/404,Updates a specified service.,,,List users
,Delete service,DELETE,/v3/services/{service_id},service_id,,204,400/401/403/405/413/503/404,Deletes a specified service.,,,
Endpoints,Add Endpoint,POST,/v3/endpoints,"endpoint_interface
endpoint_name
endpoint_region (optional)
endpoint_uri
endpoint_service_id",,201,400/401/403/405/413/503/404,Adds an endpoint.,,,Lists users.
,List endpoints,GET,"/v3/endpoints{?interface, service_id,page,per_page}",,"endpoint_interface
endpoint_name
endpoint_service_id",200,400/401/403/405/413/503/404,Lists available endpoints.,,,
,Update endpoint,PATCH,/v3/endpoints/{endpoint_id},"endpoint_interface(optional)
endpoint_name(optional)
endpoint_region (optional)
endpoint_uri(optional)
endpoint_service_id",,200,400/401/403/405/413/503/404,Updates a specified endpoint.,,,
,Delete endpoint,DELETE,/v3/endpoints/{endpoint_id},"
endpoint_service_id",,201,400/401/403/405/413/503/404,Deletes a specified endpoint.,,,GET
Domains,Add domain,POST,/v3/domains,"domain_description(optional)
domain_enabled(optional)
domain_name","domain_description
domain_enabled
domain_id
domain_links
domain_name",201,400/401/403/405/413/503/404,Adds a domain.,,,/v3/users/?{user_id}?
,List domains,GET,"/v3/domains{?name,enabled,page,per_page}",,"domain_description
domain_enabled
domain_id
domain_links
domain_name",200,400/401/403/405/413/503/404,Lists domains.,,,Show user details
,Show domain details,GET,/v3/domains/{domain_id},domain_id,"domain_description
domain_enabled
domain_id
domain_links
domain_name",200,400/401/403/405/413/503/404,Shows details for a specified domain.,,,
,Update domain,PATCH,/v3/domains/{domain_id},"domain_id
domain_description(optional)
domain_enabled(optional)
domain_name(optional)
","domain_description
domain_enabled
domain_id
domain_links
domain_name",200,400/401/403/405/413/503/404,Updates a specified domain.,,,Shows details for a specified user.
,Delete domain,DELETE,/v3/domains/{domain_id},domain_id,,204,400/401/403/405/413/503/404,Deletes a specified domain.,,,
,List roles for domain user,GET,/v3/domains/{domain_id}/users/{user_id}/roles,"domain_id
user_id","domain_role_id
domain_role_name",200,400/401/403/405/413/503/404,Lists roles for a user on a domain.,,,
,List roles for domain group,GET,/v3/domains/{domain_id}/groups/{group_id}/roles,"domain_id
group_id","domain_role_id
domain_role_name",200,400/401/403/405/413/503/404,Lists roles for a specified domain group.,,,PATCH
,Grant role to domain group,PUT,/v3/domains/{domain_id}/groups/{group_id}/roles/{role_id},"domain_id
group_id
role_id",,204,400/401/403/405/413/503/404,Grants a specified role to a specified domain group.,,,/v3/users/?{user_id}?
,Check role for domain group,HEAD,/v3/domains/{domain_id}/groups/{group_id}/roles/{role_id},"domain_id
group_id
role_id",,204,400/401/403/405/413/503/404,Validates that a group has a role on a domain.,,,Update user
,Revoke role from domain group,DELETE,/v3/domains/{domain_id}/groups/{group_id}/roles/{role_id},"domain_id
group_id
role_id",,204,400/401/403/405/413/503/404,Revokes a role from a group on a domain.,,,
Projects,Add project,POST,/v3/projects,"project_description(optional)
project_domain_id
project_enabled(optional)
project_name","project_description
project_domain_id
project_enabled
project_id
project_links
projects_name",201,400/401/403/405/413/503/404,Adds a project.,,,Updates the password for or enables or disables a specified user.
,List projects,GET,/v3/projects,,"project_description
project_domain_id
project_enabled
project_id
project_links
projects_name",200,400/401/403/405/413/503/404,Lists projects.,,,
,Show project details,GET,/v3/projects/?{project_id}?,project_id,"project_description
project_domain_id
project_enabled
project_id
project_links
projects_name",200,400/401/403/405/413/503/404,Shows details for a specified project.,,,
,Update project,PATCH,/v3/projects/?{project_id}?,"project_id
project_description(optional)
project_domain_id(optional)
project_enabled(optional)
project_name(optional)","project_description
project_domain_id
project_enabled
project_id
project_links
projects_name",200,400/401/403/405/413/503/404,Updates a specified project.,,,DELETE
,Delete project,DELETE,/v3/projects/?{project_id}?,project_id,,204,400/401/403/405/413/503/404,Deletes a specified project.,,,/v3/users/?{user_id}?
,List roles for project user,GET,/v3/projects/?{project_id}?/users/?{user_id}?/roles,"project_id
user_id","project_user_roles_id
project_user_roles_links
project_user_roles_name",200,400/401/403/405/413/503/404,Lists roles for a user in a project.,,,Delete user
,Grant role to project user,PUT,/v3/projects/?{project_id}?/users/?{user_id}?/roles/?{role_id}?,"project_id
user_id
role_id",,204,400/401/403/405/413/503/404,Grants a role to a user on a project.,,,
,Check role for project user,HEAD,/v3/projects/?{project_id}?/users/?{user_id}?/roles/?{role_id}?,"project_id
user_id
role_id",,200,400/401/403/405/413/503/404,Validates that a user has a specified role on a project.,,,Deletes a specified user.
