Category,Name,Method,URI,Input,Response,Normal Response Code,Error Response Code,Description,Remark,,GET
Limits,List limits,GET,/v2/?{tenant_id}?/limits,tenanta_id,"X-Compute-Request-ID (Optional)
maxImageMeta
maxPersonality
maxPersonalitySize
maxSecurityGroupRules
maxSecurityGroups
maxServerMeta
maxTotalCores
maxTotalFloatingIps
maxTotalInstances
maxTotalKeypairs
maxTotalRAMSize
maxServerGroups
maxServerGroupMembers
rate",200/203,500/400/401/403/405/413/503/404,Lists the current absolute and rate limits for a specified project.,,,/v2/?{tenant_id}?/limits
Extensions,List extensions,GET,/v2/extensions,,"X-Compute-Request-ID (Optional)
next (Optional)
previous (Optional)",200/203,500/400/401/403/405/413/503/404,Lists available extensions.,,,List limits
,Get extension,GET,/v2/extensions/?{alias}?,extension_alias,X-Compute-Request-ID (Optional),200/203,500/400/401/403/405/413/503/404,Gets details about the specified extension.,,,
Servers,List servers,GET,/v2/?{tenant_id}?/servers,"tenant_id
server_changes-since (Optional)
image_id (Optional)
flavor_id (Optional)
server_name (Optional)
server_status (Optional)
server_host (Optional)
server_limit (Optional)
server_marker (Optional)","X-Compute-Request-ID (Optional)
servers
next (Optional)
previous (Optional)",200/203,500/400/401/403/405/413/503/404,"Lists IDs, names, and links for all servers.",,,Lists the current absolute and rate limits for a specified project.
,Create server,POST,/v2/?{tenant_id}?/servers,"tenant_id
security_groups (Optional)
user_data (Optional)
availability_zone (Optional)
server
imageRef
flavorRef
networks (Optional)
network_uuid (Optional)
network_port (Optional)
network_fixed_ip (Optional)
server_name
server_metadata (Optional)
server_personality (Optional)
server_block_device_mapping_v2 (Optional)
device_name
source_type
destination_type (Optional)
delete_on_termination
guest_format
boot_index
config_drive (Optional)
key_name (Optional)","security_groups (Optional)
user_data (Optional)
availability_zone (Optional)
server
imageRef
flavorRef
networks (Optional)
network_uuid (Optional)
network_port (Optional)
network_fixed_ip (Optional)
server_name
server_metadata (Optional)
server_personality (Optional)
server_block_device_mapping_v2 (Optional)
device_name
source_type
destination_type (Optional)
delete_on_termination
guest_format
boot_index
config_drive (Optional)
key_name (Optional)",202,500/400/401/403/405/413/503/404,Creates a server.,,,
,List details for servers,GET,/v2/?{tenant_id}?/servers/detail,"tenant_id
changes-since (Optional)
image_id (Optional)
flavor_id (Optional)
server_name (Optional)
server_status (Optional)
server_host (Optional)
server_limit (Optional)
server_marker (Optional)","X-Compute-Request-ID (Optional)
next (Optional)
previous (Optional)",200/203,500/400/401/403/405/413/503/404,Lists details for all servers.,,,
,Get server details,GET,/v2/?{tenant_id}?/servers/?{server_id}?,"tenant_id
server_id","server_accessIPv4
server_accessIPv6
server_address
server_created
server_flavor
server_host
image_id
server_link
server_metadata
server_name
server_progress
server_status
tenant_id
server_updated
server_user_id",200/203,500/400/401/403/405/413/503/404,Gets details for a specified server.,,,GET
,Update server,PUT,/v2/?{tenant_id}?/servers/?{server_id}?,"tenant_id
server_id
server_name (optional)
server_accessIPv4 (optional)
server_accessIPv6 (optional)
auto_disk_config (optional)","server_accessIPv4
server_accessIPv6
server_address
server_created
server_flavor
server_host
image_id
server_link
server_metadata
server_name
server_progress
server_status
tenant_id
server_updated
server_user_id",200,500/400/401/403/405/413/503/404/409,Updates the editable attributes of the specified server.,,,/v2/extensions
,Delete server,DELETE,/v2/?{tenant_id}?/servers/?{server_id}?,"tenant_id
server_id",,204,500/400/401/403/405/413/503/404,Deletes a specified server.,,,List extensions
Server metadata,Show server metadata,GET,/v2/?{tenant_id}?/servers/?{server_id}?/metadata,"tenant_id
server_id","X-Compute-Request-ID (Optional)
next (Optional)
previous (Optional)
server_metadata",200/203,500/400/401/403/405/413/503/404/409,Shows metadata for a specified server.,,,
